X,Y,Z,wX,wY,wZ,L,R
 -9.222442,  -3.544762,   3.695229,  -0.565360,  -0.264907,  -0.781148,   6.000000,   0.500000 
-10.861656,   4.978849,  14.939768,   0.484121,   0.275420,   0.830524,   6.000000,   0.500000 
 -8.693230,   9.293739,   5.739517,   0.305565,   0.261657,   0.915514,   6.000000,   0.500000 
 -9.481054,   7.293486,  -4.103779,  -0.118369,  -0.641945,  -0.757559,   6.000000,   0.500000 
 -6.129242,  -6.916389, -12.590032,  -0.581130,   0.008357,  -0.813768,   6.000000,   0.500000 
  3.113318, -10.854899,  -0.730836,   0.209138,   0.964309,  -0.162384,   6.000000,   0.500000 
  0.756744, -12.849142,  -6.608285,  -0.134007,   0.990805,  -0.018655,   6.000000,   0.500000 
-11.646234,   1.302683, -10.540287,   0.436754,  -0.388550,   0.811341,   6.000000,   0.500000 
 11.696589,  -3.619745, -12.236669,   0.517855,   0.688356,   0.507928,   6.000000,   0.500000 
-14.745199,  -9.508916,  -3.841554,  -0.177830,  -0.951169,  -0.252298,   6.000000,   0.500000 
 -1.252075, -10.354612, -13.990825,  -0.077480,  -0.469630,   0.879457,   6.000000,   0.500000 
 -0.537327,   0.967084,  11.761274,   0.099950,  -0.542209,  -0.834278,   6.000000,   0.500000 
  0.387445,   7.963091, -11.171518,   0.033009,   0.985469,   0.166619,   6.000000,   0.500000 
 13.169972,  -8.231565,  -7.103752,   0.131867,   0.981662,   0.137665,   6.000000,   0.500000 
  9.161980,   5.713457, -11.722130,  -0.088312,   0.790521,  -0.606034,   6.000000,   0.500000 
  4.567294,   9.304907, -10.311864,   0.025332,   0.998113,   0.055932,   6.000000,   0.500000 
 -8.569200,   5.808899,   5.937588,   0.524353,   0.576762,   0.626419,   6.000000,   0.500000 
  7.421685, -13.407432,  -8.002409,   0.008939,  -0.973583,  -0.228157,   6.000000,   0.500000 
 -3.690742,   1.659674,  -3.886710,  -0.393465,  -0.416566,  -0.819548,   6.000000,   0.500000 
 -4.104430,  11.582699,   0.101706,  -0.126331,   0.716178,   0.686389,   6.000000,   0.500000 
 -0.004057,   0.405169,  12.205067,   0.122999,  -0.518402,  -0.846245,   6.000000,   0.500000 
